"Step","rnn_grid_2 - Max deterministic score from rollout of 1000 steps","rnn_grid_2 - Max deterministic score from rollout of 1000 steps__MIN","rnn_grid_2 - Max deterministic score from rollout of 1000 steps__MAX","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps__MIN","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps__MAX"
"4","1","1","1","1","1","1"
"9","1","1","1","1","1","1"
"14","1","1","1","1","1","1"
"19","2","2","2","2","2","2"
"24","2","2","2","1","1","1"
"29","2","2","2","1","1","1"
"34","2","2","2","1","1","1"
"39","3","3","3","1","1","1"
"44","2","2","2","1","1","1"
"49","1","1","1","1","1","1"
"54","3","3","3","2","2","2"
"59","2","2","2","1","1","1"
"64","3","3","3","3","3","3"
"69","3","3","3","2","2","2"
"74","3","3","3","4","4","4"
"79","1","1","1","2","2","2"
"84","3","3","3","3","3","3"
"89","2","2","2","1","1","1"
"94","3","3","3","2","2","2"
"99","4","4","4","5","5","5"
"104","1","1","1","1","1","1"
"109","1","1","1","2","2","2"
"114","3","3","3","6","6","6"
"119","4","4","4","3","3","3"
"124","3","3","3","3","3","3"
"129","2","2","2","2","2","2"
"134","3","3","3","3","3","3"
"139","1","1","1","6","6","6"
"144","2","2","2","2","2","2"
"149","4","4","4","7","7","7"
"154","4","4","4","3","3","3"
"159","3","3","3","1","1","1"
"164","4","4","4","1","1","1"
"169","2","2","2","1","1","1"
"174","5","5","5","3","3","3"
"179","3","3","3","8","8","8"
"184","5","5","5","6","6","6"
"189","5","5","5","5","5","5"
"194","4","4","4","8","8","8"
"199","6","6","6","5","5","5"
"204","4","4","4","8","8","8"
"209","5","5","5","6","6","6"
"214","5","5","5","1","1","1"
"219","5","5","5","8","8","8"
"224","3","3","3","9","9","9"
"229","6","6","6","12","12","12"
"234","3","3","3","4","4","4"
"239","7","7","7","6","6","6"
"244","4","4","4","9","9","9"
"249","5","5","5","7","7","7"
"254","4","4","4","17","17","17"
"259","6","6","6","5","5","5"
"264","5","5","5","16","16","16"
"269","7","7","7","8","8","8"
"274","3","3","3","10","10","10"
"279","5","5","5","15","15","15"
"284","2","2","2","13","13","13"
"289","2","2","2","13","13","13"
"294","5","5","5","9","9","9"
"299","5","5","5","15","15","15"
"304","5","5","5","8","8","8"
"309","5","5","5","12","12","12"
"314","7","7","7","9","9","9"
"319","4","4","4","7","7","7"
"324","4","4","4","10","10","10"
"329","4","4","4","13","13","13"
"334","4","4","4","10","10","10"
"339","3","3","3","10","10","10"
"344","5","5","5","13","13","13"
"349","5","5","5","8","8","8"
"354","4","4","4","20","20","20"
"359","8","8","8","9","9","9"
"364","2","2","2","9","9","9"
"369","5","5","5","8","8","8"
"374","8","8","8","12","12","12"
"379","3","3","3","6","6","6"
"384","4","4","4","5","5","5"
"389","5","5","5","10","10","10"
"394","5","5","5","11","11","11"
"399","5","5","5","9","9","9"
"404","9","9","9","13","13","13"
"409","3","3","3","8","8","8"
"414","4","4","4","21","21","21"
"419","3","3","3","7","7","7"
"424","5","5","5","8","8","8"
"429","3","3","3","10","10","10"
"434","5","5","5","13","13","13"
"439","7","7","7","11","11","11"
"444","3","3","3","13","13","13"
"449","4","4","4","10","10","10"
"454","4","4","4","7","7","7"
"459","6","6","6","10","10","10"
"464","8","8","8","11","11","11"
"469","4","4","4","11","11","11"
"474","6","6","6","12","12","12"
"479","2","2","2","11","11","11"
"484","8","8","8","5","5","5"
"489","3","3","3","12","12","12"
"494","6","6","6","6","6","6"
"499","6","6","6","7","7","7"
"504","3","3","3","10","10","10"
"509","8","8","8","7","7","7"
"514","6","6","6","12","12","12"
"519","5","5","5","9","9","9"
"524","7","7","7","10","10","10"
"529","3","3","3","4","4","4"
"534","3","3","3","16","16","16"
"539","4","4","4","9","9","9"
"544","5","5","5","6","6","6"
"549","4","4","4","8","8","8"
"554","8","8","8","7","7","7"
"559","3","3","3","10","10","10"
"564","6","6","6","12","12","12"
"569","8","8","8","10","10","10"
"574","6","6","6","8","8","8"
"579","5","5","5","7","7","7"
"584","4","4","4","11","11","11"
"589","7","7","7","5","5","5"
"594","6","6","6","7","7","7"
"599","8","8","8","10","10","10"
"604","6","6","6","10","10","10"
"609","7","7","7","11","11","11"
"614","1","1","1","10","10","10"
"619","6","6","6","8","8","8"
"624","7","7","7","8","8","8"
"629","5","5","5","9","9","9"
"634","5","5","5","10","10","10"
"639","6","6","6","11","11","11"
"644","6","6","6","11","11","11"
"649","7","7","7","12","12","12"
"654","3","3","3","9","9","9"
"659","8","8","8","9","9","9"
"664","4","4","4","14","14","14"
"669","9","9","9","10","10","10"
"674","8","8","8","8","8","8"
"679","4","4","4","7","7","7"
"684","5","5","5","8","8","8"
"689","8","8","8","10","10","10"
"694","5","5","5","13","13","13"
"699","5","5","5","11","11","11"
"704","3","3","3","8","8","8"
"709","6","6","6","15","15","15"
"714","4","4","4","10","10","10"
"719","3","3","3","11","11","11"
"724","6","6","6","10","10","10"
"729","7","7","7","12","12","12"
"734","3","3","3","13","13","13"
"739","6","6","6","10","10","10"
"744","4","4","4","11","11","11"
"749","4","4","4","10","10","10"
"754","2","2","2","13","13","13"
"759","5","5","5","8","8","8"
"764","2","2","2","10","10","10"
"769","8","8","8","8","8","8"
"774","3","3","3","10","10","10"
"779","7","7","7","10","10","10"
"784","3","3","3","10","10","10"
"789","4","4","4","12","12","12"
"794","5","5","5","13","13","13"
"799","5","5","5","9","9","9"
"804","4","4","4","11","11","11"
"809","6","6","6","10","10","10"
"814","2","2","2","6","6","6"
"819","2","2","2","9","9","9"
"824","6","6","6","12","12","12"
"829","6","6","6","7","7","7"
"834","8","8","8","8","8","8"
"839","6","6","6","10","10","10"
"844","8","8","8","8","8","8"
"849","7","7","7","13","13","13"
"854","9","9","9","13","13","13"
"859","3","3","3","11","11","11"
"864","9","9","9","10","10","10"
"869","1","1","1","4","4","4"
"874","2","2","2","5","5","5"
"879","10","10","10","11","11","11"
"884","6","6","6","10","10","10"
"889","6","6","6","11","11","11"
"894","7","7","7","10","10","10"
"899","4","4","4","15","15","15"
"904","2","2","2","14","14","14"
"909","6","6","6","13","13","13"
"914","6","6","6","7","7","7"
"919","3","3","3","11","11","11"
"924","12","12","12","13","13","13"
"929","7","7","7","5","5","5"
"934","3","3","3","9","9","9"
"939","5","5","5","14","14","14"
"944","9","9","9","10","10","10"
"949","2","2","2","12","12","12"
"954","6","6","6","8","8","8"
"959","3","3","3","9","9","9"
"964","6","6","6","8","8","8"
"969","11","11","11","12","12","12"
"974","2","2","2","7","7","7"
"979","3","3","3","6","6","6"
"984","2","2","2","9","9","9"
"989","7","7","7","10","10","10"
"994","8","8","8","11","11","11"
"999","3","3","3","11","11","11"
"1004","6","6","6","16","16","16"
"1009","3","3","3","5","5","5"
"1014","9","9","9","13","13","13"
"1019","1","1","1","11","11","11"
"1024","4","4","4","13","13","13"
"1029","3","3","3","10","10","10"
"1034","9","9","9","9","9","9"
"1039","2","2","2","11","11","11"
"1044","7","7","7","11","11","11"
"1049","9","9","9","10","10","10"
"1054","4","4","4","10","10","10"
"1059","3","3","3","7","7","7"
"1064","6","6","6","10","10","10"
"1069","9","9","9","10","10","10"
"1074","10","10","10","8","8","8"
"1079","7","7","7","11","11","11"
"1084","2","2","2","10","10","10"
"1089","7","7","7","10","10","10"
"1094","5","5","5","6","6","6"
"1099","2","2","2","7","7","7"
"1104","4","4","4","9","9","9"
"1109","4","4","4","6","6","6"
"1114","3","3","3","11","11","11"
"1119","9","9","9","11","11","11"
"1124","8","8","8","16","16","16"
"1129","7","7","7","11","11","11"
"1134","7","7","7","12","12","12"
"1139","2","2","2","5","5","5"
"1144","2","2","2","10","10","10"
"1149","5","5","5","9","9","9"
"1154","4","4","4","8","8","8"
"1159","2","2","2","8","8","8"
"1164","2","2","2","8","8","8"
"1169","4","4","4","5","5","5"
"1174","4","4","4","10","10","10"
"1179","5","5","5","13","13","13"
"1184","6","6","6","7","7","7"
"1189","2","2","2","7","7","7"
"1194","3","3","3","9","9","9"
"1199","6","6","6","10","10","10"
"1204","8","8","8","15","15","15"
"1209","3","3","3","12","12","12"
"1214","2","2","2","11","11","11"
"1219","9","9","9","10","10","10"
"1224","6","6","6","11","11","11"
"1229","9","9","9","9","9","9"
"1234","3","3","3","9","9","9"
"1239","9","9","9","9","9","9"
"1244","2","2","2","12","12","12"
"1249","7","7","7","8","8","8"
"1254","5","5","5","11","11","11"
"1259","8","8","8","3","3","3"
"1264","1","1","1","11","11","11"
"1269","5","5","5","10","10","10"
"1274","5","5","5","12","12","12"
"1279","1","1","1","13","13","13"
"1284","8","8","8","7","7","7"
"1289","11","11","11","10","10","10"
"1294","4","4","4","14","14","14"
"1299","1","1","1","11","11","11"
"1304","3","3","3","4","4","4"
"1309","8","8","8","7","7","7"
"1314","3","3","3","16","16","16"
"1319","5","5","5","9","9","9"
"1324","9","9","9","10","10","10"
"1329","2","2","2","6","6","6"
"1334","1","1","1","9","9","9"
"1339","6","6","6","8","8","8"
"1344","4","4","4","11","11","11"
"1349","9","9","9","11","11","11"
"1354","2","2","2","6","6","6"
"1359","3","3","3","10","10","10"
"1364","10","10","10","13","13","13"
"1369","2","2","2","6","6","6"
"1374","2","2","2","12","12","12"
"1379","3","3","3","2","2","2"
"1384","3","3","3","12","12","12"
"1389","1","1","1","7","7","7"
"1394","3","3","3","10","10","10"
"1399","9","9","9","8","8","8"
"1404","4","4","4","9","9","9"
