"Step","POSITIONS_DQN_WIN - Episode Score","POSITIONS_DQN_WIN - Episode Score__MIN","POSITIONS_DQN_WIN - Episode Score__MAX","SURROUNDINGS_DQN_WIN - Episode Score","SURROUNDINGS_DQN_WIN - Episode Score__MIN","SURROUNDINGS_DQN_WIN - Episode Score__MAX"
"0","2","2","2","4","4","4"
"6","2","2","2","4","4","4"
"12","2","2","2","7","7","7"
"18","2","2","2","","",""
"19","","","","10","10","10"
"24","1","1","1","","",""
"26","","","","8","8","8"
"30","3","3","3","","",""
"32","","","","6","6","6"
"36","2","2","2","","",""
"38","","","","22","22","22"
"42","2","2","2","","",""
"45","","","","17","17","17"
"48","2","2","2","","",""
"51","","","","7","7","7"
"54","2","2","2","","",""
"57","","","","16","16","16"
"60","2","2","2","","",""
"63","","","","18","18","18"
"66","6","6","6","","",""
"69","","","","10","10","10"
"73","2","2","2","","",""
"75","","","","15","15","15"
"79","2","2","2","","",""
"81","","","","2","2","2"
"85","2","2","2","","",""
"87","","","","24","24","24"
"91","1","1","1","","",""
"94","","","","16","16","16"
"97","2","2","2","","",""
"100","","","","22","22","22"
"103","2","2","2","","",""
"106","","","","9","9","9"
"109","5","5","5","","",""
"112","","","","2","2","2"
"115","2","2","2","","",""
"118","","","","15","15","15"
"121","2","2","2","","",""
"124","","","","16","16","16"
"127","2","2","2","","",""
"130","","","","19","19","19"
"133","2","2","2","","",""
"136","","","","18","18","18"
"139","3","3","3","","",""
"142","","","","16","16","16"
"145","4","4","4","","",""
"148","","","","16","16","16"
"151","2","2","2","","",""
"154","","","","22","22","22"
"157","2","2","2","","",""
"160","","","","22","22","22"
"163","8","8","8","","",""
"166","","","","24","24","24"
"170","3","3","3","","",""
"172","","","","16","16","16"
"176","2","2","2","","",""
"178","","","","17","17","17"
"182","3","3","3","","",""
"184","","","","23","23","23"
"188","1","1","1","","",""
"190","","","","18","18","18"
"194","2","2","2","","",""
"196","","","","24","24","24"
"200","2","2","2","","",""
"202","","","","11","11","11"
"206","2","2","2","","",""
"208","","","","22","22","22"
"212","2","2","2","","",""
"214","","","","19","19","19"
"218","2","2","2","","",""
"220","","","","17","17","17"
"224","2","2","2","","",""
"226","","","","22","22","22"
"230","2","2","2","","",""
"232","","","","20","20","20"
"236","4","4","4","","",""
"238","","","","22","22","22"
"242","3","3","3","","",""
"244","","","","18","18","18"
"248","2","2","2","","",""
"250","","","","13","13","13"
"254","2","2","2","","",""
"256","","","","19","19","19"
"260","3","3","3","","",""
"262","","","","21","21","21"
"266","2","2","2","","",""
"268","","","","21","21","21"
"272","2","2","2","","",""
"274","","","","24","24","24"
"278","2","2","2","","",""
"280","","","","19","19","19"
"284","5","5","5","","",""
"286","","","","11","11","11"
"290","2","2","2","","",""
"292","","","","19","19","19"
"296","3","3","3","","",""
"298","","","","21","21","21"
"302","2","2","2","","",""
"304","","","","24","24","24"
"308","6","6","6","","",""
"310","","","","20","20","20"
"314","3","3","3","","",""
"316","","","","15","15","15"
"320","5","5","5","","",""
"322","","","","19","19","19"
"326","2","2","2","","",""
"328","","","","22","22","22"
"332","2","2","2","","",""
"334","","","","24","24","24"
"338","3","3","3","","",""
"340","","","","13","13","13"
"344","3","3","3","","",""
"346","","","","24","24","24"
"350","2","2","2","","",""
"352","","","","20","20","20"
"356","2","2","2","","",""
"358","","","","21","21","21"
"362","4","4","4","","",""
"364","","","","23","23","23"
"368","2","2","2","","",""
"370","","","","20","20","20"
"374","3","3","3","","",""
"376","","","","22","22","22"
"380","3","3","3","","",""
"382","","","","16","16","16"
"386","4","4","4","","",""
"388","","","","25","25","25"
"392","2","2","2","","",""
"398","4","4","4","","",""
"404","11","11","11","","",""
"411","15","15","15","","",""
"418","10","10","10","","",""
"424","2","2","2","","",""
"430","8","8","8","","",""
"436","4","4","4","","",""
"442","13","13","13","","",""
"448","7","7","7","","",""
"454","2","2","2","","",""
"460","8","8","8","","",""
"466","4","4","4","","",""
"472","17","17","17","","",""
"479","3","3","3","","",""
"485","9","9","9","","",""
"491","11","11","11","","",""
"497","2","2","2","","",""
"503","4","4","4","","",""
"509","3","3","3","","",""
"515","8","8","8","","",""
"521","8","8","8","","",""
"527","11","11","11","","",""
"533","4","4","4","","",""
"539","2","2","2","","",""
"545","4","4","4","","",""
"551","9","9","9","","",""
"557","22","22","22","","",""
"564","15","15","15","","",""
"570","17","17","17","","",""
"576","5","5","5","","",""
"582","14","14","14","","",""
"588","6","6","6","","",""
"594","13","13","13","","",""
"600","4","4","4","","",""
"606","8","8","8","","",""
"612","15","15","15","","",""
"618","9","9","9","","",""
"624","3","3","3","","",""
"630","6","6","6","","",""
"636","12","12","12","","",""
"642","15","15","15","","",""
"648","15","15","15","","",""
"654","10","10","10","","",""
"660","10","10","10","","",""
